Minisector,VER,PIA,Fastest
0,309.906776522857,252.34279182467336,VER
1,192.3871540086286,122.03792542103005,VER
2,111.83961107349316,131.87854784251138,PIA
3,199.86786891185184,220.12183935095382,PIA
4,257.8844521779107,269.14020971636364,PIA
5,285.0699269281999,292.2144303894619,PIA
6,301.37697323990926,303.8605246957143,PIA
7,234.9193226393601,174.4799052935509,VER
8,144.58934670099737,163.54706283217126,PIA
9,232.0010943228226,245.90852875571434,PIA
10,271.7709642516959,277.1038075536134,PIA
11,235.24227184561403,204.37025818842775,VER
12,177.5748213902836,174.7910184829159,VER
13,106.59975437212124,91.67344989442249,VER
14,108.40515047556364,118.04681161106542,PIA
15,142.8635772620683,108.1359278728196,VER
16,111.37516131891694,156.0511854054149,PIA
17,214.04970525044735,217.17024412669178,PIA
18,158.06916636185008,130.8380185243024,VER
19,145.45145383014142,187.90112084215278,PIA
20,242.47766592,256.6874158026128,PIA
21,274.04577208574887,280.6236896956273,PIA
22,292.29752957086833,298.56776563707933,PIA
23,300.75064471111114,306.0167119783683,PIA
24,307.0591301762238,310.39554392592595,PIA
25,309.0,,VER
