Minisector,PER,LEC,Fastest
0,274.4275956158454,276.2683723843736,LEC
1,297.92358502871696,302.46295471169464,LEC
2,297.51162034962965,299.9722673106418,LEC
3,168.77655094682206,182.58698061960473,LEC
4,116.95186399680249,113.60897876617766,PER
5,233.82993752427245,232.2271242014839,PER
6,283.7166297035294,293.81876541175177,LEC
7,298.7048478293333,311.04265846857146,LEC
8,185.3298538193005,174.71161406687588,PER
9,134.71821896239996,133.22838933065665,PER
10,244.5512600239863,247.0316070288413,LEC
11,285.8683276486003,287.82916744129716,LEC
12,298.5371599129252,306.4329048685714,LEC
13,282.6157917156275,281.58563904717573,PER
14,292.199411101998,294.6842257454545,LEC
15,295.377440792381,296.3071366276894,LEC
16,259.3749096069565,259.10274203670997,PER
17,227.90773012742324,222.73350425988778,PER
18,273.8811741221978,281.66231168629844,LEC
19,295.3522773047695,313.4841157096109,LEC
20,296.27153321743145,324.21354653121693,LEC
21,240.5517531867351,218.03854623612122,PER
22,259.4654071626877,254.77102320312304,PER
23,139.7467999710826,128.14400220746597,PER
24,206.49815432527126,200.8578608122996,PER
25,252.6875008,253.6772706909091,LEC
