Minisector,STR,TSU,Fastest
0,316.685191384669,296.03729911688316,STR
1,156.44990107347655,152.7535665187779,STR
2,149.0349767061369,154.13031511215942,TSU
3,230.19177380498593,221.2044104739785,STR
4,285.83301698782367,283.2474543118429,STR
5,291.91288737391307,294.20344479758126,TSU
6,142.47592464571684,141.7393292851975,STR
7,139.20883160349553,139.93674843566137,TSU
8,143.2797517294309,144.64519409424148,TSU
9,189.5224679783448,170.72598411924056,STR
10,126.86280589651237,131.8256479203198,TSU
11,125.81076259297744,124.87017829732841,STR
12,175.26163602929057,160.34174633395426,STR
13,266.9387610777401,263.00809299169083,STR
14,291.0744332922737,290.4310987248485,STR
15,146.87799856317432,150.6371969976675,TSU
16,205.63286498408976,214.33259143630946,TSU
17,162.1466083460782,163.7976521929916,TSU
18,268.0776154148571,268.24219822751326,TSU
19,295.7443026597102,293.6130199636734,STR
20,310.5974117010101,306.9183398194285,STR
21,319.13668472436365,317.0526905721905,STR
22,325.3952958596248,320.5112184888889,STR
23,328.80902936929294,322.6248214285714,STR
24,327.9589597000756,323.917391917587,STR
25,,321.0,TSU
