Minisector,RUS,HUL,Fastest
0,280.805429782374,281.8252721158095,HUL
1,299.0416349046349,300.7035680419029,HUL
2,224.26101247633557,215.70532289422223,RUS
3,108.35117215713412,106.00688787274115,RUS
4,126.18606158433312,128.28189740792186,HUL
5,246.352872415735,249.95887485211418,HUL
6,255.28889900724582,252.63748221318096,RUS
7,117.85726652152728,117.32328543315033,RUS
8,241.99341818181819,239.0934201293737,RUS
9,258.07388026470704,236.39656149159714,RUS
10,200.51996706666665,192.35018220414818,RUS
11,138.27538060257294,136.17064943171707,RUS
12,197.70776074891765,200.23718830795698,HUL
13,261.27192057809265,261.9038806729169,HUL
14,106.76583912752423,109.80519426966501,HUL
15,180.64849723345264,180.6075337606157,RUS
16,252.88783290403572,252.8902441772257,HUL
17,289.4677573291402,287.5964126722078,RUS
18,306.9525832933333,302.8310879389922,RUS
19,321.64702751578466,311.840236055472,RUS
20,329.62451841069736,316.47442850742857,RUS
21,151.8394101997926,168.62510777441986,HUL
22,135.44647509808323,129.14250741337992,RUS
23,183.43803776756596,184.79507409959575,HUL
24,233.90960672,223.111230667837,RUS
25,,261.8250005333333,HUL
