Minisector,GRO,ERI,Fastest
0,261.9539306359888,258.2372324917872,GRO
1,132.65159224241776,134.12813848323464,ERI
2,265.1592559644252,262.2135847129252,GRO
3,303.349626080829,299.105166848,GRO
4,301.0903808914286,296.2716665721905,GRO
5,307.87033343999997,301.88766034871793,GRO
6,314.1641369904762,306.47210147246375,GRO
7,316.57135413333333,308.0958333128205,GRO
8,207.50485923809524,205.19400403478824,GRO
9,201.36286077593985,200.03810863574571,GRO
10,182.99221956650337,187.63427097042435,ERI
11,162.23337852258663,162.55424910525906,ERI
12,251.65827433142857,251.3174274446856,GRO
13,282.1782861644841,279.55293202962963,GRO
14,281.96786753124235,279.4020730454592,GRO
15,281.0123935836735,274.5000900910053,GRO
16,186.35405242215268,187.54625276836734,ERI
17,193.749010769869,191.84046438744377,GRO
18,238.26641635883257,242.5072148546851,ERI
19,286.17505112757203,286.2219176860411,ERI
20,307.60258088384927,304.21505422857143,GRO
21,314.09319798410934,309.4486111111111,GRO
22,314.25844220491865,308.91100002133334,GRO
23,253.32818547914613,244.46747978530468,GRO
24,114.82610789805551,116.92104308228336,ERI
