Minisector,VER,LEC,Fastest
0,275.56810115030146,281.16509490784756,LEC
1,143.45973793292805,140.9995821873924,VER
2,223.58888015075567,218.09368299109232,VER
3,281.5232665606455,284.83063833925235,LEC
4,306.57560476515846,320.9527356735352,LEC
5,298.6267479359569,307.28530653998047,LEC
6,155.39675422981853,149.15110610492636,VER
7,236.0252153436886,237.45472132155626,LEC
8,108.17962872997018,108.35926835580719,LEC
9,176.71752603886142,169.95890246331774,VER
10,275.7756633441223,279.8198314289527,LEC
11,298.2418541244784,302.03925061776664,LEC
12,213.8246643355455,214.2611193344279,LEC
13,175.3640252404457,171.08206557931697,VER
14,279.10564770001054,279.97762588776163,LEC
15,306.5428686075607,312.50456231280424,LEC
16,319.290989690086,325.74092056832546,LEC
17,324.244718756815,335.00003750637387,LEC
18,327.63277774222223,345.4021048044491,LEC
19,321.8625460894788,351.67070535837576,LEC
20,178.47371358459927,203.75127996223694,LEC
21,181.97923258552484,153.44765661982902,VER
22,278.5986068082347,276.7993358743928,VER
23,308.86440616699866,310.03420256722086,LEC
24,318.71971602194986,319.45258287890374,LEC
25,,317.0,LEC
