Minisector,NOR,LAW,Fastest
0,307.0153679965201,300.9631125253995,NOR
1,318.9031250755555,306.624223642236,NOR
2,306.96649850752266,294.3283710731208,NOR
3,181.3235565533646,171.6803833247711,NOR
4,218.2508060363396,213.15938296008466,NOR
5,197.79959953538176,196.6538222448582,NOR
6,182.66005127726206,175.75107967419407,NOR
7,201.024045251772,198.12684534405645,NOR
8,250.03014810666664,255.13294573496594,LAW
9,248.49440351200877,261.14290384646466,LAW
10,173.5197151252531,166.444226264568,NOR
11,232.16293489812807,229.67757099083133,NOR
12,125.29826598071078,124.72015114501019,NOR
13,238.09423934806776,229.77845645269844,NOR
14,272.684902434632,274.99004284409943,LAW
15,269.54921678814816,273.2451984596825,LAW
16,208.58139766123563,204.98712080571428,NOR
17,193.03104549899666,185.65035167915346,NOR
18,288.50099113897903,283.0181580485989,NOR
19,316.79260014265685,316.11799347265134,NOR
20,313.5107146285714,325.61937625768894,LAW
21,293.65483130589377,303.8195522280877,LAW
22,258.12527726547506,270.7600764596825,LAW
23,122.59649278920355,123.27725242254063,LAW
24,250.91092579434164,240.79794491639205,NOR
25,,287.2249998222222,LAW
