Minisector,LEC,ZHO,Fastest
0,317.65320198545453,319.64879388070176,ZHO
1,323.98892956362437,337.3572294372294,ZHO
2,319.8468597095065,339.9626063168015,ZHO
3,189.27131140063491,183.12442725824653,LEC
4,128.74994520335719,125.72259186549225,LEC
5,261.2384083774359,261.1133280782222,LEC
6,297.3724850638095,298.9734693877551,ZHO
7,307.3798958114286,312.6089028266667,ZHO
8,266.54012935454807,253.99948095238094,LEC
9,145.80096762214654,142.00850464267643,LEC
10,212.8479357258835,206.0043804016182,LEC
11,219.08106207726206,203.4220605526161,LEC
12,193.1081411582404,179.1207172297134,LEC
13,264.6811850727562,265.7247391476011,ZHO
14,300.54194674873855,309.88075405714284,ZHO
15,312.4268181006699,329.56055555555554,ZHO
16,252.07633061189162,259.09761304446596,ZHO
17,207.2245198222054,197.8763787878788,LEC
18,271.77651009015875,269.07616185958017,LEC
19,304.11475231117794,305.8864821428571,ZHO
20,312.83246692250464,319.5733135591232,ZHO
21,294.03145371428576,294.9829329004329,ZHO
22,207.99302058653265,189.29970008357307,LEC
23,263.08706487265306,262.4020995670996,LEC
24,301.2408698224738,302.0383729749024,ZHO
25,,315.0,ZHO
