Minisector,HAM,MAG,Fastest
0,274.26428537142857,273.0316488378117,HAM
1,289.3131316553989,289.1298406117647,HAM
2,295.06870330225564,292.5232462917293,HAM
3,135.33060567204262,128.09007512957027,HAM
4,212.3399166991004,202.0323403005291,HAM
5,259.3373020952381,256.63705016531844,HAM
6,154.0298524540558,143.55648487117796,HAM
7,218.16564113118943,209.27116738648118,HAM
8,263.2765344229012,261.3781742730159,HAM
9,281.3319077754386,279.88167100380986,HAM
10,251.7219587792175,233.76016027614295,HAM
11,188.09984170740572,182.2666881996716,HAM
12,211.8683319917136,194.16292212891764,HAM
13,152.34909780180178,145.23239886893688,HAM
14,192.6537521584918,182.29653155730708,HAM
15,181.5396805727999,166.40015947956627,HAM
16,229.6961375082413,219.3432626285714,HAM
17,247.69438174290173,237.8375644863054,HAM
18,251.4609688743764,237.86983033062793,HAM
19,244.18966520335033,234.73442175072464,HAM
20,152.0396108549894,142.67994994945062,HAM
21,135.5043630709339,135.4641557265395,HAM
22,186.26315665806973,172.56916267649768,HAM
23,163.5737347931016,151.61266677634913,HAM
24,233.39195472171625,229.89583244444444,HAM
25,259.6124992,261.1562496,MAG
