Minisector,HAM,VET,Fastest
0,253.61641978344502,267.5128134790148,VET
1,134.9093545247272,129.48903428993637,HAM
2,200.3838721445213,200.656002362292,VET
3,244.34527568007326,250.49417123220232,VET
4,255.35758706089752,264.2025578072658,VET
5,178.65354805789852,173.07805855700605,HAM
6,147.34201111607183,142.35569847796899,HAM
7,180.18938939850307,183.39871334419834,VET
8,99.92128401715645,100.06488931323997,VET
9,72.76568897843995,72.93139594008987,VET
10,93.2467291764812,95.45148669049145,VET
11,184.04675234132475,189.06566191440504,VET
12,242.9797440003734,248.06122401088436,VET
13,264.1797096354947,271.26603503569635,VET
14,271.8241764336996,279.5858349480515,VET
15,112.73944626830789,112.09095383131825,HAM
16,149.03730064975923,145.38718376130234,HAM
17,189.75112026161088,181.31651829333333,HAM
18,199.40390009172972,197.69217585202875,HAM
19,207.6288517019608,200.03645363641857,HAM
20,138.0067323026819,129.64794721492981,HAM
21,114.11255011873516,109.5005810486907,HAM
22,94.44947913419637,96.42384829592042,VET
23,195.8916623589449,201.74378897982888,VET
24,247.75485086364344,255.27614121607672,VET
