Minisector,STR,GIO,Fastest
0,262.45260156681246,263.4879569837535,GIO
1,137.59046866492946,131.95245142959624,STR
2,196.45729306666667,195.92708106666666,STR
3,245.64466215145052,246.06405687961717,GIO
4,258.73437466666667,261.3450532666667,GIO
5,185.11558248311687,180.27174066086954,STR
6,146.85506348145623,141.77528555069603,STR
7,180.40652377971014,180.35181141863356,STR
8,101.83426920344604,101.86109977811014,GIO
9,77.72179958962964,77.77267516427462,GIO
10,94.13981107737372,94.00310030387597,STR
11,181.7460658517169,178.16462817091823,STR
12,248.75416753333334,246.6794106352941,STR
13,270.8140340602262,269.3561103644444,STR
14,278.9124978488889,279.8853364858816,GIO
15,120.58397642884354,121.71976469333333,GIO
16,139.04772706138948,136.2818606830108,STR
17,197.84999974603176,194.764485384127,STR
18,201.49901449745883,191.98174466031747,STR
19,223.4829490072828,217.27748277568242,STR
20,131.3016979612265,134.93629078709677,GIO
21,120.32702461275848,120.38204700262389,GIO
22,91.06911504979503,91.18835919270728,GIO
23,198.97500186666667,194.9287478933333,STR
24,250.8503856851541,247.86926953333332,STR
25,262.2583328,263.7499968,GIO
