Minisector,ALB,GAS,Fastest
0,249.80088751599618,261.1467705426046,GAS
1,130.64111365027728,131.62571075571017,GAS
2,264.56881754190675,268.5934884675742,GAS
3,305.94715106938776,314.49510574391536,GAS
4,304.3472700689655,315.01067000558334,GAS
5,311.9469708897544,324.8307318857143,GAS
6,316.6705246814815,331.3120993333333,GAS
7,318.8656140555582,325.45467097117546,GAS
8,199.8771247934321,188.9228028656861,ALB
9,194.02320238324137,193.21116125658045,ALB
10,180.21413009500517,183.6216889714286,GAS
11,164.61379075649114,166.3078068376814,GAS
12,251.05082772888758,252.08797390394835,GAS
13,275.2844002049686,272.5351563,ALB
14,276.7733460955912,277.1887304775372,GAS
15,270.8903654,274.7259106,GAS
16,185.43924297037404,183.14441255295446,ALB
17,191.1194368308087,192.20441377621358,GAS
18,240.42896396154907,242.58411936788082,GAS
19,285.88267720027716,287.8626728110599,GAS
20,307.8691421009509,311.63281803139034,GAS
21,315.10721169729743,319.1598765432099,GAS
22,309.83412915016976,308.17421143552247,ALB
23,252.79503883784204,262.31711295489777,GAS
24,115.3530103773759,115.47743831723957,GAS
25,,226.17154994569373,GAS
