Minisector,PER,MAG,Fastest
0,301.8379700522637,293.588234896478,PER
1,235.6408148024593,230.59287702857142,PER
2,130.23524491928143,129.24505104159363,PER
3,240.27523485521297,237.277956289161,PER
4,190.36103622711622,188.62771024804232,PER
5,239.0869839826601,244.37953774598796,MAG
6,228.34583774265968,232.76974480346155,MAG
7,251.85205317902776,249.5538020305991,PER
8,288.8295206254101,282.86329353540765,PER
9,202.1219533622857,214.37904182980083,MAG
10,201.28629494070768,200.11186793589266,PER
11,271.45575131026726,267.3227892484354,PER
12,209.82355054730158,212.22558000634325,MAG
13,247.8936082864397,239.64452076505745,PER
14,292.0035922577226,285.5379681305028,PER
15,308.1640708864548,301.2155289184416,PER
16,311.13074221954884,300.29055076190474,PER
17,233.21523606185886,235.81567968998246,MAG
18,269.80823626373626,262.4583616443461,PER
19,298.5317615955776,291.27559646064583,PER
20,313.0097865704006,304.9104352969697,PER
21,313.9217843948052,303.84913545176806,PER
22,150.88723235287418,161.32067555345358,MAG
23,228.9064111233221,223.9450728345576,PER
24,285.0985097869597,279.1051068441447,PER
25,295.8750016,288.41920580474374,PER
