Minisector,LEC,RIC,Fastest
0,285.32531623334165,288.75338387473295,RIC
1,294.7095906690282,295.72028985507245,RIC
2,287.7612357729637,284.6319938285714,LEC
3,110.59343692530894,113.23746035011776,RIC
4,220.36902869333332,221.3051087462287,RIC
5,271.38480197186914,275.35437829828294,RIC
6,218.91703398172112,220.51639624946236,RIC
7,159.8791153521292,157.17986583092755,LEC
8,209.69582801838453,209.25493087045228,LEC
9,221.3486962481198,215.33669388387096,LEC
10,118.62872995804979,118.79903011851117,RIC
11,229.16626117205422,230.16240769556103,RIC
12,126.50509308756483,125.69208814286976,LEC
13,223.81935627375702,226.268535245977,RIC
14,277.42274342222225,279.4918733463548,RIC
15,218.6440126770215,223.4825778285714,RIC
16,187.68233360649955,188.4823179811278,RIC
17,242.24483862580385,246.63422605714285,RIC
18,203.2242225145385,205.42753949415805,RIC
19,176.98569243720107,176.7421057122807,LEC
20,260.9788798691469,262.9164670748079,RIC
21,285.4965040707017,285.18985497971016,LEC
22,178.70191536901265,176.25227993225297,LEC
23,212.35460336100104,211.5632486242071,LEC
24,267.5466667048513,271.1245035962846,RIC
25,279.54166613333336,,LEC
