Minisector,GAS,RAI,Fastest
0,308.1671951601793,327.1565733116949,RAI
1,236.53392401507259,225.13508566936534,GAS
2,138.36779629854186,130.93833792289976,GAS
3,221.29338647606815,221.0607316474277,GAS
4,264.9211996349793,265.84619328164945,RAI
5,290.8878866601117,297.3308627696749,RAI
6,305.6902815445364,319.3068507149514,RAI
7,283.9615150573575,273.74060703180396,GAS
8,176.27634788857736,166.214400694095,GAS
9,242.93462156182073,241.21644755087718,GAS
10,277.2153158972096,276.28314628689515,GAS
11,259.32084427434984,256.69061501358476,GAS
12,204.39516181285617,204.0065147089593,GAS
13,131.4243110420325,124.84353092241953,GAS
14,123.43054292000646,124.24104611332268,RAI
15,165.51241968012494,160.73744264500974,GAS
16,124.79093521056956,124.92526525517974,RAI
17,226.57553187766413,232.81866114501267,RAI
18,188.50863617511152,176.61885939669517,GAS
19,164.78591122085456,164.32394896135122,GAS
20,249.7618524881719,250.28826324924157,RAI
21,279.4822929093231,279.11291093605297,GAS
22,294.01124107659996,297.34311235921984,RAI
23,302.12777799111115,313.22639966776626,RAI
24,305.55503363438004,323.02867727800464,RAI
