Minisector,HAM,RUS,Fastest
0,290.7676129714157,277.6647278830702,HAM
1,142.71307690720099,146.70535383519282,RUS
2,213.46646181847353,215.4423777685108,RUS
3,269.9654063912827,283.6828976613375,RUS
4,314.77895230988685,311.9019915107946,HAM
5,305.05927091274054,288.7809165368249,HAM
6,144.6451734708136,150.9008756541389,RUS
7,250.96764236832865,249.48643082181394,HAM
8,116.72207867513133,113.42099419087226,HAM
9,155.48284248427873,159.97185943109173,RUS
10,275.51024684920907,275.62140778209334,RUS
11,300.6081435710071,296.429302352027,HAM
12,241.59020249725745,192.34326024374786,HAM
13,156.5132837067872,169.32101459715992,RUS
14,272.22619854108757,271.96120865150243,HAM
15,312.17622378729897,313.0684573126192,RUS
16,325.0869314012041,324.273250112,HAM
17,335.85874976969694,334.0323582898549,HAM
18,339.4491567746032,331.9886197024943,HAM
19,333.63272643209956,327.5983765887446,HAM
20,204.7365589951148,179.25319467862815,HAM
21,164.1934743020068,177.13072328891894,RUS
22,278.73414292903885,283.00572607076947,RUS
23,313.5711780482504,317.4105980743948,RUS
24,323.579119001144,322.1149396149143,HAM
