Minisector,ANT,VER,Fastest
0,306.09174600380953,307.079594935456,VER
1,312.8286011352381,328.43862444021164,VER
2,298.1809896612139,317.96822894102445,VER
3,179.6723162623164,170.75599421530765,ANT
4,226.89687787260695,212.73317127036478,ANT
5,198.812158021508,191.79431982962512,ANT
6,182.2029410157279,178.02351639273368,ANT
7,207.96349673860112,204.08935100043595,ANT
8,256.6155050989899,255.56784508294015,ANT
9,257.495726143569,253.89381083084174,ANT
10,176.67609989250582,167.83680332429168,ANT
11,234.0725669608602,231.22088550965987,ANT
12,127.6445121273051,127.95048189080025,VER
13,237.99091774157571,234.1648885161021,ANT
14,279.42916684495236,277.36631981483407,ANT
15,275.2711866968116,273.6378099213223,ANT
16,209.24040290921408,201.80535514257386,ANT
17,190.5570478610364,188.99110387479047,ANT
18,288.13995046545455,288.68594806793544,VER
19,317.2170246899577,322.2537628648414,VER
20,316.3078732293333,324.76768858104856,VER
21,291.5804927751045,302.2719932798903,VER
22,257.84383255948853,258.90980435047334,VER
23,124.92041083912055,121.47247425908857,ANT
24,251.71800647064373,247.01432597337296,ANT
