Minisector,GRO,MAG,Fastest
0,291.19309677876,291.43019437654226,MAG
1,298.15000064000003,300.78584017914534,MAG
2,161.53054235704653,165.5745804619355,MAG
3,221.95208325333334,222.82906136000003,MAG
4,271.51666714074076,274.5427187639266,MAG
5,294.0156248,294.15426751681895,MAG
6,303.1333331911111,302.9139136,GRO
7,170.58087190875224,158.6314152493572,GRO
8,133.29851222857144,135.98002271372548,MAG
9,249.5779338495699,253.4106075702807,MAG
10,284.11718766666667,286.64687446666665,MAG
11,296.5588230901961,297.3266672355556,MAG
12,148.62403705855587,148.79083506196076,MAG
13,196.96557027288767,201.07657262440426,MAG
14,258.8964708429632,262.4222220444444,MAG
15,193.99864132173914,196.7135430666667,MAG
16,218.9768949818182,222.50754284178683,MAG
17,208.85102794805195,214.80035223549783,MAG
18,240.86937905608465,245.0642694742675,MAG
19,271.9635877764506,276.4975484235294,MAG
20,289.46348047058825,294.4528643333333,MAG
21,246.14758631214778,250.22086687830688,MAG
22,214.44526496969695,213.53325093433622,GRO
23,199.86684864927537,205.1702988008229,MAG
24,262.6550936296296,268.7796108133941,MAG
25,281.05,,GRO
