Minisector,ALB,BEA,Fastest
0,280.0942705320415,284.83803100952383,BEA
1,289.1286409828571,300.185423079873,BEA
2,238.77515199449735,241.37820476671425,BEA
3,113.16310592135866,116.08561221939499,BEA
4,137.707009032867,135.7352764755363,ALB
5,252.81893686739397,252.82392484554342,BEA
6,255.95178450229693,261.3930877596265,BEA
7,124.21024545808335,121.06957372665214,ALB
8,245.46209049292085,244.72973454495775,ALB
9,256.6434669695238,252.68863368106668,ALB
10,213.47739950516015,202.91103493860413,ALB
11,143.11578255893502,138.65145042808066,ALB
12,206.82575809186784,202.25225514291043,ALB
13,264.37676082002065,267.4339210239703,BEA
14,118.27236983718129,121.45878618286947,BEA
15,192.09940262330048,185.7792017225321,ALB
16,259.6410280643386,258.162095768077,ALB
17,291.76778479457136,290.41244178406015,ALB
18,304.40126978201056,304.2406473788474,ALB
19,311.6603900066165,311.68872539607844,BEA
20,314.40053924392157,313.6595436596825,ALB
21,167.7329580631258,220.91583086021433,BEA
22,138.124256947405,135.06850207681165,ALB
23,198.59624723398863,208.60984306655521,BEA
24,240.65609684285712,236.24982629438466,ALB
25,,269.80124896,BEA
