Minisector,HAM,RAI,Fastest
0,274.62984549511987,275.02686635650025,RAI
1,301.26111045925927,301.3763883259259,RAI
2,315.3561136769882,316.17668027338937,RAI
3,324.2101647540916,323.9424476666667,HAM
4,328.8859374,328.87959483207345,HAM
5,327.8133186761905,331.4270833333333,RAI
6,224.93686078562274,215.88837506813186,HAM
7,108.54810805818931,105.38809449908219,HAM
8,185.5316497212003,187.29827339770114,RAI
9,262.2032444937445,265.409898562406,RAI
10,290.44462936533085,295.18420979649125,RAI
11,173.46611223333332,170.34724326374186,HAM
12,98.91118687392373,94.73911237264069,HAM
13,117.29567166352726,116.05268159605711,HAM
14,223.7891314716856,223.45848236825395,HAM
15,192.52342198510925,184.41699631982522,HAM
16,230.33949273043478,219.9462733383023,HAM
17,189.04958791858022,181.37935718322936,HAM
18,235.94546954202897,235.85789879826842,HAM
19,279.1670525474499,280.6604157866667,RAI
20,254.27287813459762,247.96056280570906,HAM
21,149.51012021520725,140.91721535438597,HAM
22,97.26419188019199,96.93842272016185,HAM
23,127.57875868991447,124.67495895464756,HAM
24,227.41025190994242,227.86032403478262,RAI
25,258.26666666666665,,HAM
