Minisector,GAS,GIO,Fastest
0,145.02994233711902,208.20725616888478,GIO
1,137.11697255915055,217.62072501628063,GIO
2,164.95714170666668,170.67929182957394,GIO
3,111.13767180529986,223.93486261624778,GIO
4,145.24422753126294,265.52147347692306,GIO
5,183.40372425535085,293.83864450570394,GIO
6,163.56446595996522,311.1761348848485,GIO
7,137.44905786644466,322.19545454545454,GIO
8,145.95652173913044,254.62292361479956,GIO
9,143.67401619470985,128.8505978282703,GAS
10,145.24419888228255,196.63602641568627,GIO
11,166.52820691573115,251.52900016512174,GIO
12,135.6091978226868,282.95737124102567,GIO
13,172.73333333333335,302.98163402305266,GIO
14,178.17383926164624,317.0130942323809,GIO
15,176.28824829578915,323.33999968,GIO
16,135.02562837867518,312.38757466169346,GIO
17,90.65972677953089,156.47651869090907,GIO
18,106.67994182703121,89.90149554705862,GAS
19,117.67174597536301,208.98528511428572,GIO
20,127.77729211710758,261.40254461564695,GIO
21,171.02399509974938,289.3360780051948,GIO
22,144.5955685510921,306.9875918476962,GIO
23,135.86066500266668,313.7772731151515,GIO
24,178.84780625964913,239.47202697142856,GIO
25,183.9749984,114.05767111256387,GAS
26,,177.37267722666667,GIO
27,,239.50496044703524,GIO
28,,263.08452403809525,GIO
29,,200.6067533231696,GIO
30,,163.13659213786846,GIO
31,,217.5737586581422,GIO
32,,208.6859919587588,GIO
33,,183.5016199111111,GIO
34,,230.95901489603278,GIO
35,,260.95347075555554,GIO
36,,279.6285955551932,GIO
37,,292.9954857777778,GIO
38,,300.9451384888889,GIO
