Minisector,RUS,STR,Fastest
0,293.3330584977778,291.69184791885715,RUS
1,303.4091573050815,303.7657258828011,STR
2,307.1250001185185,309.357833343256,STR
3,308.7660489885714,307.6094225712281,RUS
4,193.82953125520763,189.1990373795091,RUS
5,222.19807203995117,214.03754225015874,RUS
6,271.7780618206413,267.15360615416523,RUS
7,275.08010321608464,266.41416486312926,RUS
8,187.46950191480974,180.36763090117768,RUS
9,146.54922348557318,142.56461353373115,RUS
10,188.20582655000462,183.215594809958,RUS
11,260.9959821355102,260.269579286252,RUS
12,257.0767263153026,246.32653035474655,RUS
13,233.81457170186334,227.30208926589063,RUS
14,274.0319666230524,267.61240360874723,RUS
15,171.03627761625566,160.43670614235248,RUS
16,222.78163906748108,219.64302468239617,RUS
17,243.12930313333334,226.8928516399134,RUS
18,137.3592519567576,134.32990180824092,RUS
19,241.5405698819951,244.25579765124817,STR
20,280.2872073128594,281.15190404569574,STR
21,252.2591349142857,223.22866929156177,RUS
22,142.2332948404144,137.13917523908697,RUS
23,213.2609192736508,211.3584234639443,RUS
24,271.6482600646945,269.235568449905,RUS
25,285.9750016,,RUS
