Minisector,RUS,OCO,Fastest
0,257.1362515843518,253.2166716757366,RUS
1,125.64276338007923,129.7377050727312,OCO
2,258.78707854008906,259.44040971027135,OCO
3,304.5576116391096,306.86963050779906,OCO
4,308.0780403492675,306.0090037501133,RUS
5,317.16328570148573,313.4219907621399,RUS
6,324.42058970812894,318.7773931350427,RUS
7,326.03683486188265,314.50529098783124,RUS
8,189.2880746099453,194.1697414919045,OCO
9,190.82044574648666,189.84034995572497,RUS
10,183.7097684632344,186.70741862689377,OCO
11,169.6439719279949,168.66217042031866,RUS
12,250.88983319372002,251.21357393827608,OCO
13,260.93891609790467,263.7763692771157,OCO
14,271.4025777561097,272.08911282941284,OCO
15,270.2312002760427,265.87270550868624,RUS
16,175.87634831209664,176.6851465125513,OCO
17,182.53796784303523,183.10567174184564,OCO
18,225.41690519503697,228.28404561784322,OCO
19,279.72135139121417,282.8853398583908,OCO
20,305.41640773079365,308.1100406145067,OCO
21,314.4179887144577,317.6799761828571,OCO
22,313.7851147493878,315.27681037354034,OCO
23,251.55444050938377,225.3040503336941,RUS
24,110.11973550293128,114.91840912077384,OCO
25,223.42500195555556,,RUS
