Minisector,NOR,VET,Fastest
0,246.60757868693727,242.55471255281518,NOR
1,283.25533333333334,268.36733333333336,NOR
2,184.6851751810506,184.1382699685731,NOR
3,152.36689299428784,156.5035725460033,VET
4,259.36615283807345,257.57933333333335,NOR
5,265.452314745679,260.1523765728395,NOR
6,215.84905568357183,206.28480392156862,NOR
7,194.81764446089727,199.3523039372549,VET
8,148.45383581397496,148.7214335001118,VET
9,211.4293561289517,209.3421875,NOR
10,268.0346666666667,265.10160258461536,NOR
11,125.43966393323431,127.38503366715172,VET
12,205.83640786662482,203.94155101844333,NOR
13,269.4581666986667,265.55685837705465,NOR
14,290.8618181381645,286.21376811594206,NOR
15,299.4528985507246,290.74466666666666,NOR
16,257.59987204539914,245.76355027444535,NOR
17,132.86317958251314,135.33346918501496,VET
18,125.34840019164437,127.96027596965706,VET
19,118.33932960609864,118.93786525824227,VET
20,224.73920235938752,216.7578125,NOR
21,254.15130499633702,249.09567171236088,NOR
22,238.99469433266677,239.0735632183908,VET
23,216.3920357242469,219.46549621747727,VET
24,134.70008998096327,137.94709691895045,VET
25,214.9208352,208.17500373333334,NOR
