Minisector,RUS,TSU,Fastest
0,262.69757360793653,254.01202240815462,RUS
1,135.96836787736305,134.89304473936508,RUS
2,202.61573164431078,201.41626872898922,RUS
3,247.98272033946205,244.92215160090703,RUS
4,261.58275646271585,257.9128698819048,RUS
5,179.8758418989899,183.54062049518424,TSU
6,145.28078313071194,149.79877498536612,TSU
7,188.7313473046043,189.88785003636366,TSU
8,103.3964941618011,106.23926154325082,TSU
9,75.08495475732835,75.91272566967815,TSU
10,98.01724269198928,96.38365694092481,RUS
11,185.7596514934244,175.98280375119617,RUS
12,247.37414729650794,240.90974203271574,RUS
13,270.29441986666666,263.123332114595,RUS
14,283.0332418813187,276.34563600972996,RUS
15,110.60451682993047,113.31708394696015,TSU
16,142.22421614572994,140.38099511950233,RUS
17,199.5921865777778,186.34202736665154,RUS
18,189.7386366790482,193.96485465270058,TSU
19,214.35076907629073,211.72600369359475,RUS
20,136.11109656091955,139.75927779592942,TSU
21,102.12174085503034,111.25424512558229,TSU
22,97.57023621635427,93.68945219267607,RUS
23,198.8598583041847,193.09544624,RUS
24,252.4366037342857,244.95664002026695,RUS
25,266.32500000000005,260.4193554306855,RUS
