Minisector,LEC,ALO,Fastest
0,305.3894031489645,305.01745774500745,LEC
1,321.3503434901099,320.3596708892022,LEC
2,295.0924613165121,295.8984970739459,ALO
3,110.79251139037027,107.29747213023245,LEC
4,226.68660753667825,225.30899023785105,LEC
5,273.0789913483881,269.3506904637129,LEC
6,181.43618435888197,197.833778499589,ALO
7,172.82548405539026,171.10555528589603,LEC
8,212.5007084171722,210.27363254300545,LEC
9,220.94080750949956,223.32169869208738,ALO
10,115.65828590158065,121.21193763121411,ALO
11,232.1711330276746,233.34542897554286,ALO
12,119.71667540115425,119.80991530262165,ALO
13,227.28467573968254,224.45774909523362,LEC
14,275.92728867776543,273.66846617018183,LEC
15,230.30823289904762,213.09185611037438,LEC
16,195.6064441643925,206.87844571786096,ALO
17,252.46289806517288,256.1503298377416,ALO
18,186.66213880157719,199.37510544160259,ALO
19,187.6840835535972,208.41092855342995,ALO
20,264.264221426087,264.65207045397506,ALO
21,289.8570575784917,286.5731331636364,LEC
22,176.34996888606972,163.55458708122032,LEC
23,212.96965854052758,217.94949448773448,ALO
24,271.907838498355,271.8133494770628,LEC
