Minisector,ALO,OCO,Fastest
0,293.5243058984127,293.07321443809525,ALO
1,245.80044673094017,237.6620269429277,ALO
2,194.3479512859896,190.54138484174118,ALO
3,261.8579172644571,260.5193444227032,ALO
4,223.65475166440487,222.61767737081593,ALO
5,111.73309334345667,111.05448351599968,ALO
6,168.44020283426798,164.5788068222794,ALO
7,252.74353917554382,258.629098557594,OCO
8,286.1187153267864,286.11580914034613,ALO
9,301.3523717183626,302.3854310509317,OCO
10,306.55833281038963,304.35733893657726,ALO
11,237.2266005846154,224.71159543043578,ALO
12,139.25190063358923,134.597783096489,ALO
13,253.11547830902433,251.2875095113721,ALO
14,287.127289140959,287.5822187848215,OCO
15,297.32407106762867,298.6350000510145,OCO
16,288.0565949087076,291.4253119877268,OCO
17,255.9038341924579,251.657152064903,ALO
18,177.46232472323052,178.88631398032427,OCO
19,177.52645411341797,175.45589526484736,ALO
20,180.1758609993645,171.27689508281807,ALO
21,240.44318165876277,241.44069542901565,OCO
22,115.71090853891603,119.45268698072303,OCO
23,190.30922163645477,186.1241514391755,ALO
24,272.1174713701903,271.14566035807894,ALO
25,285.8125008,286.0,OCO
