Minisector,PIA,GAS,Fastest
0,306.82790415157893,305.0530524957464,PIA
1,202.38621319717421,222.08129272439527,GAS
2,146.16713702538397,149.84904262791767,GAS
3,223.8063662509317,221.1659025113997,PIA
4,168.73171074760288,165.4080221675201,PIA
5,186.5317798873397,174.53841782663744,PIA
6,254.04752800504426,252.29844091885715,PIA
7,278.08694067221154,277.790427145061,PIA
8,287.6247796001411,284.87655681699414,PIA
9,255.32314972825645,255.54464862048454,GAS
10,234.69154256699417,245.92515609749486,GAS
11,236.31738694209525,233.43449430332154,PIA
12,197.72000278479788,199.00904577522093,GAS
13,131.4716307074533,124.28336538811271,PIA
14,137.94550059837957,133.3724850320723,PIA
15,172.06649278538353,180.3760784593729,GAS
16,246.1549465748687,248.14605052000002,GAS
17,243.25556197417177,232.44673704501741,PIA
18,115.91444538541265,114.62357757628462,PIA
19,197.16452986809819,199.7713158951593,GAS
20,206.49178074048308,197.92011238772486,PIA
21,234.6361764144773,232.6625101177475,PIA
22,264.3474545183174,264.8999255494372,GAS
23,286.40722024515406,283.5304642552381,PIA
24,300.24259632924293,298.57886785141005,PIA
