Minisector,PER,GAS,Fastest
0,310.0425797164815,305.0530524957464,PER
1,212.83140991544033,222.08129272439527,GAS
2,141.1192097777926,149.84904262791767,GAS
3,224.17770738956054,221.1659025113997,PER
4,166.60353988422486,168.83232020066973,GAS
5,175.20974540142046,170.10974429810642,PER
6,254.81074475238097,252.29844091885715,PER
7,282.29617819364825,277.790427145061,PER
8,291.2000834915555,284.87655681699414,PER
9,268.4078564198942,255.54464862048454,PER
10,242.52534868917175,244.833515713744,GAS
11,233.8874089771731,236.99076939615549,GAS
12,199.20941909678498,203.61081551501317,GAS
13,121.9255544097277,124.21349300380211,GAS
14,130.09651921671255,135.66452532086677,GAS
15,170.48515655532415,173.61728789954992,GAS
16,249.47819770188042,247.36426370526317,PER
17,235.68901823041364,242.05569531987302,GAS
18,114.05606013102592,115.18005334984167,GAS
19,197.81571454262243,189.21030223628287,PER
20,201.09922135366043,199.4973286487912,PER
21,235.5638843683744,228.12977048748584,PER
22,266.577048021112,262.7610816962771,PER
23,286.80331990453783,281.9769914872829,PER
24,301.9470100078431,297.46278897283634,PER
25,306.4821430857143,302.33833258666664,PER
