Minisector,STR,HAR,Fastest
0,319.2011054367347,281.9559041333333,STR
1,160.81107572032522,155.86683769076245,STR
2,194.61385833736986,154.91366917223166,STR
3,156.45444467988278,219.44726786206897,HAR
4,276.4173621333333,281.2111382392725,HAR
5,307.40703466589974,291.7507579636363,STR
6,158.52934346542588,146.51638864216474,STR
7,133.3625908105029,135.92263868981803,HAR
8,192.71640628368698,147.20875951597603,STR
9,124.59799275664369,168.55397606186278,HAR
10,167.1440372987101,130.44818226286327,STR
11,130.87178584419095,123.05845828252842,STR
12,121.50683966181995,156.83496630517345,HAR
13,249.45858197025908,258.5738335619048,HAR
14,284.0138119334434,282.3721130734523,STR
15,203.38234089097935,149.9409126198746,STR
16,164.86146790768336,206.08608915268817,HAR
17,153.26235642170542,157.2074314619256,HAR
18,247.15011959688897,263.50308923607804,HAR
19,291.8305073354539,285.9242423272727,STR
20,304.9557537015873,297.3054350856403,STR
21,319.91374976000003,303.46174933094636,STR
22,327.87789863420085,307.95918365895693,STR
23,340.0407892210526,311.8953050868623,STR
24,339.45568427750567,308.7031250133333,STR
25,335.63598377451416,307.85,STR
