Minisector,PIA,ALB,Fastest
0,282.296441105581,280.0942705320415,PIA
1,298.02225464339267,289.1286409828571,PIA
2,236.75453922203857,238.77515199449735,ALB
3,119.44300951041421,113.16310592135866,PIA
4,132.45805626638557,137.707009032867,ALB
5,254.9199146955225,254.01079316772731,PIA
6,264.7268761066667,250.60880025565663,PIA
7,121.58218720065825,123.68280387208512,ALB
8,244.88698290715445,246.13765177583736,ALB
9,258.7615845613766,256.4540524899379,PIA
10,218.227270784015,211.06407270697778,PIA
11,140.36130188093017,141.33442841977836,ALB
12,203.45205855256427,206.82575809186784,ALB
13,266.76223325990003,264.37676082002065,PIA
14,117.14021628639948,118.27236983718129,ALB
15,192.95760804503269,192.09940262330048,PIA
16,260.75992379848174,259.6410280643386,PIA
17,290.287520827232,291.76778479457136,ALB
18,302.61809018962964,304.40126978201056,ALB
19,310.19804749321787,311.6603900066165,ALB
20,313.61251321227513,314.40053924392157,ALB
21,152.46468154116062,162.33138447853662,ALB
22,163.7626058650719,143.17238919965624,PIA
23,207.33322824070234,198.59624723398863,PIA
24,238.27661096921153,240.65609684285712,ALB
