Minisector,COL,ALB,Fastest
0,288.735670447257,282.66955112699816,COL
1,159.8198077132678,146.9530431362489,COL
2,164.68822776041006,162.26583742728377,COL
3,239.32608511028297,240.53829604311957,ALB
4,274.6907522668078,260.5162113629304,COL
5,234.7279739305864,215.9737835163982,COL
6,202.74415895241665,197.81904693396908,COL
7,139.1664627654308,139.29741948096208,ALB
8,229.38713848740738,230.62667040319812,ALB
9,298.8704348556204,297.9030653580247,COL
10,320.29221298069905,323.77259059005684,ALB
11,320.90071807368344,327.47664057867485,ALB
12,312.60809527477954,320.74200626670336,ALB
13,304.59678967736176,297.83706412365564,COL
14,127.87760693870311,114.54797174382462,COL
15,117.74689404276731,111.96076862422639,COL
16,100.98114180583006,110.68492923274283,ALB
17,243.81262535827383,250.73071972576068,ALB
18,304.95218580938274,305.464823048915,ALB
19,318.108473676527,315.3424077498162,COL
20,313.91156861490197,315.0,ALB
21,310.0056679139572,308.6014487226664,COL
22,118.71468941645429,110.97921497038192,COL
23,203.29998412753068,217.23235374571084,ALB
24,274.6549246019412,274.4161999896618,COL
25,282.4906248,,COL
