Minisector,BOT,VET,Fastest
0,286.57396796350207,286.920921064149,VET
1,297.5678578387825,297.36136360044895,BOT
2,301.8479765307815,303.1700926074074,VET
3,297.4889376829348,303.5702430222222,VET
4,185.95233262385486,186.65672332095238,VET
5,211.44972942311426,206.99047375582916,BOT
6,261.8965232951227,263.0526136910973,VET
7,256.33726906896396,266.81975877943904,VET
8,181.498935364586,187.3448515048495,VET
9,146.22633978334886,149.68430175374624,VET
10,190.95263999849502,178.55172864589628,BOT
11,254.70444573835314,254.6894831393782,BOT
12,237.5318345449928,240.83980541558122,VET
13,223.42573750872666,218.93172159621625,BOT
14,264.5397956631111,264.2939866600866,BOT
15,167.41271048807448,171.38285003803847,VET
16,218.08012402402932,214.8447279519669,BOT
17,233.4981756022857,237.12459475856105,VET
18,139.91601379097003,129.930896583926,BOT
19,236.58102277211873,234.9332344841849,BOT
20,272.191407056,274.98718671371125,VET
21,235.48627422849881,233.61435131983973,BOT
22,139.90755522347283,137.53493003655646,BOT
23,207.81040879253422,201.6696887763132,BOT
24,265.3894998449373,263.3725990725363,BOT
25,,278.6066480540819,VET
