Minisector,RUS,ALB,Fastest
0,262.69757360793653,257.70713721405593,RUS
1,135.96836787736305,127.10383860536028,RUS
2,202.61573164431078,195.88596331851852,RUS
3,247.98272033946205,245.13293846521316,RUS
4,261.58275646271585,252.69059776703295,RUS
5,179.8758418989899,164.3458422465617,RUS
6,145.28078313071194,141.9038420224059,RUS
7,188.7313473046043,183.01389373561906,RUS
8,103.3964941618011,101.89784180812876,RUS
9,75.08495475732835,69.97137828236683,RUS
10,98.01724269198928,96.7165880107674,RUS
11,185.7596514934244,179.98513341607352,RUS
12,247.37414729650794,242.41286982666668,RUS
13,270.29441986666666,265.15428317491495,RUS
14,283.0332418813187,277.8411447777778,RUS
15,110.60451682993047,110.42623203122051,RUS
16,142.22421614572994,147.4945988004884,ALB
17,199.5921865777778,174.235833231772,RUS
18,189.7386366790482,185.66362061699988,RUS
19,214.35076907629073,206.56757779649124,RUS
20,136.11109656091955,134.7410388620738,RUS
21,102.12174085503034,102.4496222145419,ALB
22,97.57023621635427,98.24589726746073,ALB
23,198.8598583041847,196.58017625890795,RUS
24,252.4366037342857,249.68280471998577,RUS
25,266.32500000000005,260.9749994666667,RUS
