Minisector,PER,VET,Fastest
0,261.46597202962965,261.01911767843137,PER
1,134.16935360000002,132.28531639693148,PER
2,195.45545875287166,191.64877778932862,PER
3,243.84188928158224,244.0456582633053,VET
4,261.4979365079365,261.21222222222224,PER
5,191.53226687012204,182.0805147885206,PER
6,148.92074796190474,144.789594356261,PER
7,186.02651515151516,179.13550759884058,PER
8,105.30040207337025,103.07502919210222,PER
9,79.52001840756306,79.14872791754344,PER
10,96.28343097919326,93.30910761089173,PER
11,178.02735494492754,177.08451546969638,PER
12,243.65882352941176,243.2010274180858,PER
13,266.89887409771484,268.3377777777778,VET
14,280.4488888888889,280.07444444444445,PER
15,120.83138022769175,121.55565113356926,VET
16,137.6288386920897,134.82619058285715,PER
17,198.5515873015873,194.43656749900646,PER
18,193.55956978787557,197.29444444444445,VET
19,226.3842105263158,213.5428236383894,PER
20,134.16032758634162,133.2057337190746,PER
21,122.93064591325054,121.26589889840339,PER
22,88.69168099656389,90.15691277575758,VET
23,187.46507936507936,191.70686723541402,VET
24,243.48926505418635,247.171568627451,VET
25,,259.6375008,VET
