Minisector,PER,RAI,Fastest
0,291.7931874806187,300.3310370394558,RAI
1,309.6771931508772,319.9392428980514,RAI
2,317.45424389135803,328.8837541839474,RAI
3,311.663389677586,332.6092106105263,RAI
4,198.05638774349205,194.1512159769809,PER
5,220.45585602065154,222.0858384826602,RAI
6,265.6707819064182,270.8328476682017,RAI
7,270.4123099151515,276.8304847132811,RAI
8,197.5243069534097,189.6569181854331,PER
9,161.83485690800026,156.90887399846986,PER
10,181.25188910833333,189.57720622089224,RAI
11,256.2660260980115,262.6821165449275,RAI
12,252.49888035352382,253.70763788198568,RAI
13,233.56673600000002,224.28594895492682,PER
14,272.23185247410197,273.1577435399796,RAI
15,177.56033995319726,177.10382453008867,PER
16,221.10334087082717,221.5890472632937,RAI
17,247.5640906002384,249.07471959836013,RAI
18,137.40691553280524,135.82789730827255,PER
19,241.1919133979145,238.7624754102857,PER
20,277.8620750157224,281.9844137921827,RAI
21,256.00819737613523,258.94080932149853,RAI
22,148.80436482902493,144.21971547235802,PER
23,213.17499956721784,208.17557376420362,PER
24,269.78884204611524,271.91398433250464,RAI
25,,287.03749973333333,RAI
