Minisector,SAI,RIC,Fastest
0,250.9516148485501,249.88069260606062,SAI
1,207.04934445471136,200.95307160430107,SAI
2,198.63551276549333,196.16573960357144,SAI
3,249.08329735937323,250.92043715109187,RIC
4,265.0445333426526,265.6865144295873,RIC
5,287.06565143544356,280.3267290104309,SAI
6,163.8537723810461,153.7533189169277,SAI
7,185.1963898755799,173.06796977868962,SAI
8,268.734839552312,262.5639641955473,SAI
9,302.6561443490052,288.6086914545029,SAI
10,320.9136929179804,299.5653950337662,SAI
11,324.31653324907563,296.55047804341245,SAI
12,116.43038211823904,105.16549455213128,SAI
13,178.46361446446613,187.99618086031745,RIC
14,266.59939486078673,268.0017981706293,RIC
15,292.8915095690236,291.79419139381787,SAI
16,300.92425600971956,293.37140875522425,SAI
17,180.04903805322417,177.42799674077128,SAI
18,220.55133895882366,219.09007467007774,SAI
19,266.66829633411015,264.02696183555554,SAI
20,150.76394499118337,149.21661722949966,SAI
21,140.38599646684105,136.3821437889699,SAI
22,212.756489170282,210.1790242179253,SAI
23,227.47503359945233,215.24242199874894,SAI
24,156.00118630726587,155.6033763193295,SAI
25,220.83333333333334,,SAI
