Minisector,NOR,VET,Fastest
0,269.5695435110586,269.7848008054106,VET
1,244.6706820853359,252.71809686888014,VET
2,110.65441320491455,109.10225830897627,NOR
3,175.65237723214287,165.00729601881497,NOR
4,178.53560793814816,174.89345742636283,NOR
5,208.54007777777778,212.25738670441132,VET
6,265.76987485551535,270.1659402192306,VET
7,283.0031216931217,284.8556786327273,VET
8,179.70925290338474,182.04891463721268,VET
9,132.43808583545118,119.81972652537952,NOR
10,125.96333100325968,125.41358633809388,NOR
11,175.87980736402596,176.45709678639636,VET
12,224.90245734223515,212.4636185737143,NOR
13,126.24142657531323,127.47841792606062,VET
14,139.74480794644606,151.97715217019174,VET
15,125.50440960392841,116.8606258948202,NOR
16,247.50687138637545,243.5895796189824,NOR
17,140.57056822695873,140.46588304441102,NOR
18,194.0694019375796,176.92657437087243,NOR
19,122.1083377125035,114.8583123405427,NOR
20,127.93715552704184,122.09495442709483,NOR
21,118.39980654695718,118.87066194168379,VET
22,137.59142682479487,142.42833403466665,VET
23,206.3254023504193,216.60062922202275,VET
24,231.18044001944014,230.9568422192208,NOR
