Minisector,LEC,TSU,Fastest
0,244.58050756079123,245.72491696294267,TSU
1,274.3050996065095,276.5162979265203,TSU
2,177.31570608395793,166.5581505037794,LEC
3,163.08553536217426,152.96471264573876,LEC
4,256.4112827265651,256.04534754812335,LEC
5,265.9903984995904,254.18326427301588,LEC
6,222.95360910197303,202.8163014624257,LEC
7,205.3058414180405,191.28472481558398,LEC
8,158.34023582361914,149.16965260768345,LEC
9,214.17597473947612,205.0736909551961,LEC
10,270.1240573526837,268.3812473995307,LEC
11,117.70456601837603,118.62957272023577,TSU
12,206.39747350831752,212.1831454648889,TSU
13,268.7803976748052,275.99523775661373,TSU
14,289.8003620001606,305.7028162679948,TSU
15,298.0681156030075,320.3598054968889,TSU
16,238.71728006912215,242.46393108571428,TSU
17,134.44313439345186,123.44313655915882,LEC
18,133.96525474855176,128.01564276030493,LEC
19,125.96158991075285,122.88285056667677,LEC
20,219.7570021936762,224.99958961427848,TSU
21,252.0471511185185,248.29875420435732,LEC
22,228.34791683583998,221.60476021897085,LEC
23,208.336041874251,202.67303219336222,LEC
24,136.17571481055944,134.6146840424601,LEC
