Minisector,PIA,PER,Fastest
0,270.19363391252205,269.34379598814814,PIA
1,289.07093603990927,288.3089663851583,PIA
2,287.5798933665408,291.03768579950616,PER
3,125.73819060977404,126.91193873026306,PER
4,195.75220567809524,201.47873875482992,PER
5,244.89065880987772,251.9257825224873,PER
6,134.92659957370023,136.32165320176367,PER
7,206.36040463492063,206.15322790851937,PIA
8,258.141256905732,259.8616650173243,PER
9,277.39726690285715,279.9373109593277,PER
10,230.39734885431636,225.39426386349214,PIA
11,169.51743257150858,176.157891051229,PER
12,194.95821364033014,191.68625724188553,PIA
13,139.9134939770538,133.1781501093082,PIA
14,176.69847123249167,176.59159575228398,PIA
15,164.46411769412893,163.3501971859818,PIA
16,224.80748214744688,219.1511808719617,PIA
17,232.3546792807321,232.65858939508772,PER
18,238.98258360571427,241.77845984907827,PER
19,227.06404070615372,224.84230944578886,PIA
20,145.93757553201536,150.19144736266648,PER
21,129.37055807468678,134.03237054134482,PER
22,164.89383262375918,171.67935136052546,PER
23,150.3204252822934,152.74373156922536,PER
24,227.67103071935497,234.8433063005857,PER
25,257.97499999999997,,PIA
