Minisector,VET,MAG,Fastest
0,286.920921064149,286.18949404145457,VET
1,297.36136360044895,296.5339536132765,VET
2,303.1700926074074,301.17418147817733,VET
3,303.5702430222222,298.9176599012063,VET
4,186.65672332095238,192.27141248231163,MAG
5,206.99047375582916,209.30381682590476,MAG
6,263.0526136910973,261.89412352617626,VET
7,266.81975877943904,262.3612587925466,VET
8,187.3448515048495,183.62919032622148,VET
9,149.68430175374624,149.61357700609227,VET
10,178.55172864589628,180.37345759333593,MAG
11,255.3233172755983,256.2927561594333,MAG
12,239.60525111628948,244.8597247987011,MAG
13,218.93172159621625,217.52737568914287,VET
14,264.2939866600866,263.46850041168506,VET
15,171.38285003803847,168.25897202015653,VET
16,216.2678642873016,217.26623233510645,MAG
17,232.99415997595236,233.23534062774326,MAG
18,129.34384528109493,130.05259766580474,MAG
19,236.26900305160467,243.45333293389436,MAG
20,275.89269269466365,275.55191762479217,VET
21,231.4150036525597,245.62560018252321,MAG
22,137.74139515761607,136.01890346028284,VET
23,206.79810982894477,205.1644624185546,VET
24,264.97108307499457,265.34106211776714,MAG
