Minisector,ANT,RUS,Fastest
0,120.36998406965988,116.65643787304845,ANT
1,169.21698522412697,157.6187879538828,ANT
2,195.07535707428573,203.7403030564878,RUS
3,164.7021280587281,220.4833936457143,RUS
4,158.0174996254945,251.0131729486228,RUS
5,140.8012720551724,273.8657570420168,RUS
6,161.01608967416237,288.3420388761905,RUS
7,202.74583950589246,293.6918367346939,RUS
8,235.9824819681203,289.08006999720277,RUS
9,247.1744218074074,250.96898809921151,RUS
10,238.66666666666666,217.99404373333334,ANT
11,203.32703175141896,199.94980003839999,ANT
12,211.11545437090908,200.52500004848483,ANT
13,231.18300547724868,157.22347611076262,ANT
14,260.2614681695296,133.01594985519714,ANT
15,270.916513942071,162.908002304,ANT
16,252.4088200605042,198.2967411478261,ANT
17,134.6658169227031,224.06214328885233,RUS
18,118.62656912653061,146.8105314622282,RUS
19,178.9203810242981,110.96845384260651,ANT
20,191.40090020444447,147.96428571428572,ANT
21,129.65368923428574,191.85842182222223,RUS
22,97.34251998355731,170.71316854095235,RUS
23,150.95742181942504,159.71034759225805,RUS
24,187.1968531809524,147.07777777777778,ANT
25,178.0,173.124000768,ANT
26,,199.28387255423712,RUS
