Minisector,HUL,STR,Fastest
0,276.22861153710284,276.60810216299205,STR
1,293.7030996171274,294.8015348240628,STR
2,288.5392237238598,294.41944565163635,STR
3,174.75410005963528,173.4224665806852,HUL
4,116.6118580534224,116.83922127673154,STR
5,235.74648820876786,232.73274100072396,HUL
6,279.35774156918166,279.9830672662526,STR
7,288.1180057004329,291.70658109275615,STR
8,174.86848252486774,165.8966431172353,HUL
9,140.96418747475943,132.0685783708339,HUL
10,250.7143886309297,248.60742469968253,HUL
11,286.3390364687973,287.5163632597903,STR
12,300.50507009587767,295.9162464278261,HUL
13,280.0695596643771,276.74534350892094,HUL
14,299.71836058320343,302.2683588308866,STR
15,296.2941808979488,301.779030966489,STR
16,250.23495160439558,232.54368204,HUL
17,228.01488153625954,222.53830922115517,HUL
18,278.4716194115751,282.3327052439728,STR
19,302.1070964723022,306.5051932117914,STR
20,305.75288088694464,309.14851461336787,STR
21,238.97529295563467,224.41417669903544,HUL
22,260.21539445106146,257.26300945411907,HUL
23,141.09626592426807,138.45064587566324,HUL
24,218.0700247496658,214.74247077674514,HUL
