Minisector,PIA,SAI,Fastest
0,289.38222248296296,290.40326953693005,SAI
1,296.52481834713444,294.3375730196079,PIA
2,167.51651496320832,158.94853865980363,PIA
3,221.87008159815628,217.9918431799846,PIA
4,270.53243821883194,270.3504772931696,PIA
5,292.8957123413333,292.1171865109815,PIA
6,297.5039356444444,298.8721510269733,SAI
7,174.9564614908121,156.03860987870968,PIA
8,124.4025971723034,123.07914447050506,PIA
9,250.1613565511111,247.99310429926436,PIA
10,288.68512991525733,287.9515162387438,PIA
11,300.6843866495548,301.0802907919213,SAI
12,146.20685438203333,148.5075452454847,SAI
13,193.0973128752171,190.28884497526823,PIA
14,254.26812698324883,255.67492261137696,SAI
15,200.57119039459573,196.49703683483256,PIA
16,216.9397613277091,211.31002521104864,PIA
17,214.95714614760686,201.890126810386,PIA
18,243.70749363580953,237.6091646001803,PIA
19,279.10839557078054,276.05539126417113,PIA
20,296.3451781746939,294.21297633523807,PIA
21,264.41037382858417,262.2382479127033,PIA
22,226.34527375447993,220.5013408570302,PIA
23,203.92102048979592,203.60217593803358,PIA
24,263.2673698976312,262.43048678319326,PIA
25,,280.8874976,SAI
