Minisector,VER,NOR,Fastest
0,233.08766474168985,231.86819968288827,VER
1,292.39986255999196,279.0918418872688,VER
2,315.6174219175361,292.14883446349205,VER
3,322.5680842571074,296.7467391536232,VER
4,284.1013342586147,264.0022684425028,VER
5,162.66177797742145,165.62567858604652,NOR
6,259.13605837250395,258.80512174806086,VER
7,273.85116663466664,273.23141025641024,VER
8,215.3993762969548,211.87182200702023,VER
9,218.51136664988113,218.0730972375167,VER
10,177.54699671993984,180.35035391043436,NOR
11,220.82430283240328,224.58461587631774,NOR
12,197.77627963507518,204.92032892121213,NOR
13,206.65284074760157,212.77749851348912,NOR
14,211.92386556695263,222.6118229862233,NOR
15,178.9608724284812,176.1844968968314,VER
16,242.97694892366277,253.50333746019447,NOR
17,284.4058378408244,298.2987263861932,NOR
18,300.37045221790476,308.4799782649351,NOR
19,284.91864312685715,295.2791982158828,NOR
20,129.1007642979292,133.40126351206533,NOR
21,158.51666457061523,162.6888211276326,NOR
22,146.97304881777458,153.85194511219575,NOR
23,203.26444834131553,204.91380314366754,NOR
24,143.96076152642954,148.87358394332276,NOR
