Minisector,VER,BOT,Fastest
0,233.08766474168985,233.14811129540712,BOT
1,292.39986255999196,287.7830582961294,VER
2,315.6174219175361,312.97951368888886,VER
3,322.5680842571074,323.0629398507254,BOT
4,284.1013342586147,287.5723005461491,BOT
5,162.66177797742145,162.37480746918695,VER
6,259.13605837250395,257.16987106161827,VER
7,273.85116663466664,273.7011218051282,VER
8,215.3993762969548,209.9063353361243,VER
9,218.51136664988113,216.14982584200072,VER
10,177.54699671993984,183.79088683032228,BOT
11,220.82430283240328,218.29191488521647,VER
12,197.77627963507518,200.575857560484,BOT
13,206.65284074760157,206.38988901225272,VER
14,211.92386556695263,213.57219790351274,BOT
15,178.9608724284812,179.43558669588168,BOT
16,242.97694892366277,242.90530924563183,VER
17,284.4058378408244,283.0663212021523,VER
18,300.37045221790476,294.1648333775238,VER
19,284.91864312685715,280.4352561230769,VER
20,129.1007642979292,129.31229474851867,BOT
21,158.51666457061523,158.3422618560067,VER
22,146.97304881777458,151.45363387071936,BOT
23,203.26444834131553,204.66706453428048,BOT
24,143.96076152642954,146.8800483805022,BOT
25,,185.64375359999997,BOT
