Minisector,ANT,HAD,Fastest
0,305.7710233904762,300.32273880380956,ANT
1,149.59390983526694,150.03458094093278,HAD
2,209.15069765946953,216.67130941701458,HAD
3,287.00770877128724,285.9031357962482,ANT
4,317.67803590965985,312.5105788464816,ANT
5,318.5442703666667,315.55188813333336,ANT
6,176.95796220690883,189.24487366513142,HAD
7,120.15099152698937,115.62962088142804,ANT
8,253.14564792380952,251.7435093832073,ANT
9,298.2693878072122,293.3010666933333,ANT
10,297.7870795169565,299.7921376080672,HAD
11,133.58786584398385,148.36683520669627,HAD
12,180.99582141522242,167.80602397392394,ANT
13,248.80830802575963,241.72407071759397,ANT
14,189.0205591303716,185.47836245473454,ANT
15,193.04662853986176,193.43970697988732,HAD
16,190.05023255024125,197.95963654448585,HAD
17,237.55670332179417,227.1570451426639,ANT
18,281.53064337814635,276.44744363174607,ANT
19,296.5244206469418,298.4582029333333,HAD
20,243.171009216,256.4448729452035,HAD
21,203.3892474005964,205.09246214222222,HAD
22,190.973556352,179.16522634220985,ANT
23,273.21603696919635,261.97268996971763,ANT
24,307.01502716349376,296.6860821500654,ANT
25,,302.5125,HAD
