Minisector,NOR,LEC,Fastest
0,261.43471986571427,262.32087237756616,LEC
1,137.26716924461698,138.9479312019986,LEC
2,204.06504139174604,209.02303761568626,LEC
3,249.06726592101586,247.1577560123077,NOR
4,258.70380169329286,260.2814837484912,LEC
5,181.4441351695238,181.5363142346128,LEC
6,157.13789951301126,150.82388764979746,NOR
7,194.14020743472682,190.50821929202613,NOR
8,107.80194275138942,107.22384905052607,NOR
9,74.9008318690053,73.11176079338911,NOR
10,96.69577175041796,99.59847868218839,LEC
11,186.2637356379824,194.42163294677053,LEC
12,250.0115560391111,248.02374447238094,NOR
13,271.6505372685981,267.8330948495238,NOR
14,285.0679167827552,275.37174101405895,NOR
15,109.44098527034922,102.65747036074886,NOR
16,155.42655464498037,167.2148283148397,LEC
17,188.09187277034025,189.74655123116884,LEC
18,208.20487481400562,210.20482368717086,LEC
19,223.6178671514074,212.581029655873,NOR
20,146.20897148713817,142.89213123529697,NOR
21,111.5486588148157,104.17470596572787,NOR
22,105.10516563800404,106.98587080426469,LEC
23,204.79994988395123,196.92332392392802,NOR
24,258.2162166933333,251.32992007111113,NOR
25,266.8750034285714,,NOR
