Minisector,HAM,MAG,Fastest
0,271.6269712369231,271.51904759480516,HAM
1,291.62609790210126,292.27305886489967,MAG
2,292.7502548592208,292.84906415788356,MAG
3,186.51898529081998,167.62176598140823,HAM
4,117.41760316719322,115.38857749455238,HAM
5,232.8864838028681,234.5335631292657,MAG
6,274.55426044721503,276.4497886805115,MAG
7,288.45103203636364,289.37334882724457,MAG
8,183.69597121414967,178.93318545124717,HAM
9,141.52422401275538,133.86570777617,HAM
10,242.88691136727047,246.64168772253956,MAG
11,283.57881892392555,284.7410097394918,MAG
12,298.50285305797826,292.7658866861551,HAM
13,276.53851901561904,270.4117780525855,HAM
14,292.7572974825488,289.3353168526406,HAM
15,300.55922077922077,291.8184069084446,HAM
16,253.68636109859364,242.74383018614523,HAM
17,227.4041919547475,214.6590617444126,HAM
18,273.53255688205866,270.754130986389,HAM
19,294.754920995671,292.3004543418346,HAM
20,301.4003864052486,297.9630918362399,HAM
21,235.0431362389183,232.725873769395,HAM
22,258.98565994937076,254.84400479390476,HAM
23,140.7905874071726,136.95065848117008,HAM
24,208.55829137912244,202.79422384354174,HAM
25,251.22142902857144,254.39305493333336,MAG
