Minisector,PER,KVY,Fastest
0,255.34620338424608,257.7186759351502,KVY
1,202.89763890883842,202.58770659816565,PER
2,219.06806743824274,221.81487770268652,KVY
3,262.24176055931383,261.24125378245515,PER
4,276.51494147704693,272.37771747246376,PER
5,218.13863036893432,219.45794024580613,KVY
6,96.7030687912958,95.60715776108266,PER
7,183.47883317409554,189.95954927963052,KVY
8,271.20181316959355,272.64418381583494,KVY
9,296.20443402832564,296.06671323432965,PER
10,307.7874821456368,304.4739073475889,PER
11,305.43938157472087,299.57622352860903,PER
12,109.99415889650402,111.64528556609575,KVY
13,215.74586899780795,214.29708142849202,PER
14,278.3764042369592,279.234336046947,KVY
15,300.36967405714284,299.7189702312942,PER
16,214.48046212219168,236.86888675697935,KVY
17,121.21467816700363,123.33443639386955,KVY
18,149.76658506301052,148.70445333586935,PER
19,256.80032229641057,253.84820892861882,PER
20,149.70893224784913,159.50531105468744,KVY
21,127.36450944175816,124.71200855917473,PER
22,203.87460242358569,195.70319024468637,PER
23,193.7968334547719,200.261428374781,KVY
24,158.91890290730166,159.22642647117647,KVY
25,228.60251029890938,232.58333866666666,KVY
