Minisector,NOR,HAM,Fastest
0,263.01740203921565,261.9187505714286,NOR
1,139.32890852891057,140.71436333714286,HAM
2,197.9115950730159,201.5655453327967,HAM
3,248.93120134754506,247.22794139607845,NOR
4,261.76953166666664,259.6766666666667,NOR
5,187.4430589482669,189.8086005452444,HAM
6,149.80770146095463,155.30030810864196,HAM
7,184.81457387977335,194.41453225419997,HAM
8,103.6238545634812,106.21776267468671,HAM
9,78.20771525298507,79.31121126731364,HAM
10,93.88781188040417,100.68355029245313,HAM
11,172.67106489772257,189.0059269125541,HAM
12,245.45915975394917,250.15074435238097,HAM
13,271.46086790404695,270.43165166482976,NOR
14,279.7611117511111,278.2399995733333,NOR
15,120.96659408073516,116.62746999887021,NOR
16,132.49909070015838,154.78518605432097,HAM
17,195.93198737430635,192.16904772063492,NOR
18,202.3949076661778,205.76860052070177,HAM
19,225.22238893544974,214.6714914245614,NOR
20,137.50337757006818,137.5410130471547,HAM
21,119.83637872761904,112.98837684210527,NOR
22,89.98765470949458,101.21076412879052,HAM
23,196.269110641215,203.89210531929825,HAM
24,252.28480451764705,251.00506017852507,NOR
25,262.2416661333333,,NOR
