Minisector,NOR,ALO,Fastest
0,294.2117937186724,295.8994227191043,ALO
1,301.207126962465,298.3514663736381,NOR
2,155.50468220951242,155.3504208434062,NOR
3,224.83310162956167,222.29586161668135,NOR
4,278.99353406079285,279.00680290786136,ALO
5,304.986836425172,305.7836338474088,ALO
6,316.0276189053968,309.01234482171003,NOR
7,156.53459676013824,175.22547222113377,ALO
8,119.46178930594982,121.31371123610012,ALO
9,252.257695944127,243.60543353696488,NOR
10,295.08740820076446,279.8811582168451,NOR
11,310.76744778197974,289.179414615873,NOR
12,137.65973546250595,156.29616733909708,ALO
13,185.9929044524047,189.26898730214032,ALO
14,252.07123442339181,249.13327756975417,NOR
15,197.54506435046653,208.91762597900694,ALO
16,212.95109455878932,216.28938948461928,ALO
17,208.0334356265008,209.92763348968862,ALO
18,241.69997620370927,239.49991241503758,NOR
19,273.5920810663762,272.16605220428573,NOR
20,286.93374703820587,285.0191351193277,NOR
21,255.1605034806349,262.8965012449488,ALO
22,215.56021890249514,229.64945767619045,ALO
23,198.0184038542422,205.426622216023,ALO
24,257.80749298885183,259.79340688479436,ALO
25,276.93999872,275.9333312,NOR
