Minisector,ANT,NOR,Fastest
0,306.09174600380953,307.0153679965201,NOR
1,312.8286011352381,318.9031250755555,NOR
2,298.1809896612139,306.96649850752266,NOR
3,179.6723162623164,181.3235565533646,NOR
4,226.89687787260695,218.2508060363396,ANT
5,198.812158021508,197.79959953538176,ANT
6,182.2029410157279,182.66005127726206,NOR
7,207.96349673860112,201.024045251772,ANT
8,256.6155050989899,250.03014810666664,ANT
9,257.495726143569,248.49440351200877,ANT
10,176.67609989250582,173.5197151252531,ANT
11,234.0725669608602,232.16293489812807,ANT
12,127.6445121273051,125.29826598071078,ANT
13,237.99091774157571,238.09423934806776,NOR
14,279.42916684495236,272.684902434632,ANT
15,275.2711866968116,269.4676790624561,ANT
16,209.24040290921408,206.72456633814923,ANT
17,190.5570478610364,193.03104549899666,NOR
18,288.13995046545455,288.50099113897903,NOR
19,317.2170246899577,316.79260014265685,ANT
20,316.3078732293333,313.5107146285714,ANT
21,291.5804927751045,293.65483130589377,NOR
22,257.84383255948853,258.12527726547506,NOR
23,124.92041083912055,122.59649278920355,ANT
24,251.71800647064373,250.91092579434164,ANT
