Minisector,ANT,LEC,Fastest
0,283.9924274007686,276.31415787174603,ANT
1,122.24907746695685,118.18854447136019,ANT
2,157.56203869497736,168.22906792137206,LEC
3,219.0728725093333,217.02465189902222,ANT
4,167.3800801232741,168.1499583383166,LEC
5,240.08472581710714,242.91542344394315,LEC
6,213.11611333714288,224.31437297414968,LEC
7,132.61180619948988,137.02134966213657,LEC
8,230.10698477809942,231.4339498532727,LEC
9,276.9987569340056,274.0980020679888,ANT
10,286.0966758050909,292.29504895193276,LEC
11,157.2218496287064,169.4314838974551,LEC
12,216.57969825972873,206.7053679389922,ANT
13,268.9206947294094,266.0936549089514,ANT
14,278.4180141150039,286.14161703268655,LEC
15,102.22650515429528,111.2640074959946,LEC
16,211.53281861642515,197.30136471896103,ANT
17,270.7864854934115,264.245810114411,ANT
18,294.33177798162967,289.1801520146591,ANT
19,306.59937809608465,303.8750194577778,ANT
20,312.6723888872331,310.0001979301064,ANT
21,308.50475988625186,308.80549078735436,LEC
22,151.90993122555315,170.5218917798653,LEC
23,235.5195889870377,212.16285657512677,ANT
24,276.00979854285714,269.55384305421444,ANT
25,287.2977268363636,286.3353000888889,ANT
