Minisector,LEC,PER,Fastest
0,291.6332176150427,293.11420752217686,PER
1,161.3407477908598,167.55845240482165,PER
2,174.74281137824997,173.6993114692289,LEC
3,256.54951360801056,256.1737949042424,LEC
4,289.18492927343794,284.07163504771364,LEC
5,261.502979835393,252.46844658040624,LEC
6,227.6869787860202,227.14548026358278,LEC
7,150.75574525918273,150.48848436706658,LEC
8,226.17927692883785,229.18417995844774,PER
9,279.4448864982857,282.91363601454543,PER
10,297.86030287515155,301.6894500529005,PER
11,307.58107983310657,311.35728456605045,PER
12,311.5122180330827,316.0029959299048,PER
13,310.1687919146667,313.58037237131083,PER
14,127.16744347774379,130.61270708692672,PER
15,119.45194021976566,119.41209502086492,LEC
16,104.41928054083101,99.6603508282187,LEC
17,237.6079764978882,236.48231616725886,LEC
18,286.219132397361,287.52976176483185,PER
19,307.697321264,308.6746691238095,PER
20,318.3492186826667,319.5836435846465,PER
21,319.54755003109,321.72036423553425,PER
22,125.61809679435255,120.40401668471884,LEC
23,203.53498201379443,203.8623776899408,PER
24,269.58400843638606,271.4137538242098,PER
25,283.3531248,,LEC
