Minisector,BOT,MAG,Fastest
0,234.62629642045394,233.2628568333287,BOT
1,290.09288425974023,282.03905366353723,BOT
2,306.83270842666667,295.61452559330615,BOT
3,311.7688392990476,299.98874455411254,BOT
4,280.42322201405693,271.57600875428585,BOT
5,169.53386943716933,169.14307496481274,BOT
6,263.80892888253965,259.5245795799192,BOT
7,283.88384040865964,276.8148550360248,BOT
8,220.85292561269839,219.1893837396322,BOT
9,219.5036714754642,213.1886210868027,BOT
10,192.9764605922078,187.64312993088436,BOT
11,225.4221160661309,219.29415385720495,BOT
12,207.0972731371483,207.02130281152606,BOT
13,219.86192510213465,212.62140835730708,BOT
14,220.9494152382958,217.51674222703056,BOT
15,182.0150555204482,181.28864563303395,BOT
16,250.34541344041165,244.56986148091707,BOT
17,294.3640151757576,289.4579540848485,BOT
18,314.17658460208054,305.01979152,BOT
19,303.14316670933334,303.2164290742857,MAG
20,130.14873208619736,133.70958875155756,MAG
21,160.41370358116046,172.19040919853677,MAG
22,156.80638740684802,140.82753953317476,BOT
23,205.86188103465102,215.62812870547702,MAG
24,147.63034098692376,141.16643854974348,BOT
25,,174.84235964444443,MAG
