Minisector,NOR,TSU,Fastest
0,290.5133769204205,290.5752452860618,TSU
1,164.96156878226495,160.43257309513783,NOR
2,177.45434909161793,171.22125801373187,NOR
3,256.0004207190722,252.239609242197,NOR
4,289.3784002015238,286.47947929227513,NOR
5,245.5624085448756,251.09390971496694,TSU
6,224.36082429923852,222.85813781198053,NOR
7,157.02697069537916,150.11115435172164,NOR
8,223.77912081345403,230.75457871116188,TSU
9,277.8898441331602,279.84189386323976,TSU
10,297.5265330087157,298.1689325018182,TSU
11,306.7593537959184,306.7632220046956,TSU
12,309.1844689394395,310.13642174690057,TSU
13,307.8060272633135,306.0938198331429,NOR
14,132.38353083988474,124.87962239924047,NOR
15,118.13406492917466,118.413709542642,TSU
16,102.98332411286756,102.19767425006134,NOR
17,233.82110878044048,237.7902293993266,TSU
18,286.11859616715725,286.87571402742856,TSU
19,305.91874160314836,305.80828709441283,NOR
20,315.8858974881203,316.0772910168441,TSU
21,318.76120627649124,317.88075750905983,NOR
22,117.96408805327037,123.48126973632105,TSU
23,204.3603710002005,203.47945283981852,NOR
24,270.54229534018447,267.5036798247934,NOR
25,,281.95357074285715,TSU
