Minisector,PIA,ALB,Fastest
0,297.5762582176242,307.81669226832895,ALB
1,208.19449525388035,228.61515390327057,ALB
2,149.59409073129706,138.85782641503107,PIA
3,227.43642504557914,223.88308573930456,PIA
4,175.30418460947067,163.00333850148243,PIA
5,193.80207381057363,180.6623346930328,PIA
6,255.83274761461124,255.531044287121,PIA
7,277.92030356888887,283.02411624390925,ALB
8,281.68782851116424,289.5660589733333,ALB
9,266.61661450756304,261.23836314939683,PIA
10,256.28666653333335,248.2730758227292,PIA
11,250.30393440570964,240.7435089904762,PIA
12,221.7428531699499,202.36362816732424,PIA
13,134.77170402498425,126.44089620376455,PIA
14,147.30004319389707,136.40850685774333,PIA
15,179.19244196871986,176.79120893067994,PIA
16,252.16569514013585,255.84414928609118,ALB
17,239.3493584817166,246.43811421902572,ALB
18,115.68978669350568,112.33178969357981,PIA
19,201.75015957372773,205.74771932199585,ALB
20,207.4687658144222,194.336829112282,PIA
21,239.67969958944164,239.3160200376099,PIA
22,266.40831538190116,277.4474093972543,ALB
23,282.02587450600123,299.23372202666667,ALB
24,292.8033927583332,315.62827356952386,ALB
25,295.2812504,,PIA
