Minisector,ALO,RUS,Fastest
0,273.64541836229625,270.5695008571428,ALO
1,290.1623988578897,288.3324372746215,ALO
2,279.2057450946336,275.37224184126984,ALO
3,162.10133158432978,146.5537477272369,ALO
4,191.3953321915739,186.39628378304118,ALO
5,172.31366209143434,169.75704461218163,ALO
6,166.91692730268304,158.0382105022643,ALO
7,190.01588476104766,183.61006776560632,ALO
8,243.51685809133,235.35398512727184,ALO
9,236.53459202936043,232.95276496507935,ALO
10,145.14501298401672,140.48476378650605,ALO
11,217.96843529862755,216.8925164768142,ALO
12,109.51258746743595,102.96460724221026,ALO
13,208.56126012210845,209.86014641611334,RUS
14,265.89405603982607,262.7037083854968,ALO
15,277.04645443312626,271.7931952761905,ALO
16,185.9978089778317,166.36859363964993,ALO
17,158.37834387864038,158.21829138962963,ALO
18,253.6641431398942,251.4744119729293,ALO
19,282.661904592617,276.26533534376813,ALO
20,294.2555832526835,286.43482925051757,ALO
21,293.48546723851854,281.7712257992117,ALO
22,242.9049054436605,240.27066497040536,ALO
23,97.86606946366084,101.91099080608387,RUS
24,222.88804930961436,227.5748034464368,RUS
25,258.9285686857143,,ALO
