Minisector,HAM,HAD,Fastest
0,304.4949756468966,300.32273880380956,HAM
1,149.15543918851907,150.03458094093278,HAD
2,211.2897926916402,216.67130941701458,HAD
3,288.34985238588234,285.9031357962482,HAM
4,314.44044722779444,312.5105788464816,HAM
5,316.34874986666665,315.55188813333336,HAM
6,175.38556544921812,180.77028387858758,HAD
7,121.25977204136524,117.28690906338161,HAM
8,254.26862438184872,251.7435093832073,HAM
9,296.1442578554622,293.3010666933333,HAM
10,295.45937324733706,298.2692815230075,HAD
11,140.3773908230318,137.29622848651024,HAM
12,181.16343548102503,176.09281849902214,HAM
13,245.33408490496544,242.70178399593652,HAM
14,190.91385123328172,180.53398173306718,HAM
15,190.11106731604394,196.87155237823688,HAD
16,194.75317607665016,195.5393928819625,HAD
17,233.27748691301588,233.21246422124742,HAM
18,278.5853472787301,279.471190292437,HAD
19,294.38911812879496,298.85434745747887,HAD
20,241.37147694391535,249.51165111862684,HAD
21,194.16515406202686,199.5053358675458,HAD
22,178.52444833232363,185.09266962149957,HAD
23,265.6853615336472,268.3073767170868,HAD
24,303.83411465333336,298.53130269908496,HAM
