Minisector,LEC,PER,Fastest
0,326.43647677575757,322.5801625997114,LEC
1,338.7019659777332,332.0064993443495,LEC
2,337.7965554123636,326.7301013788272,LEC
3,202.43183957471973,200.0737225139065,LEC
4,128.00142780482395,132.21234073399518,PER
5,265.89930538329355,268.0280887730403,PER
6,301.0045691018399,301.4834830095238,PER
7,316.09238666158734,315.583749952,LEC
8,284.5083899741799,273.79656139876647,LEC
9,144.19276448379256,148.2681133777513,PER
10,219.63401189789286,218.83712659224148,LEC
11,222.37933267613448,227.0396635909091,PER
12,199.09180017840433,201.3558868904762,PER
13,269.29795978926825,272.639667456,PER
14,306.6627996521017,308.0865196065055,PER
15,321.2331545752381,320.2083053585965,LEC
16,263.91060017005714,274.46237236363635,PER
17,210.22363723073016,211.6585470987755,PER
18,276.31426313403193,278.047288447205,PER
19,308.6806574493122,311.20459590588234,PER
20,322.38931685453633,321.20798697142857,LEC
21,298.35732911543903,304.6334975676494,PER
22,205.99039851547994,210.4651838074459,PER
23,265.53110659065794,265.3659857072143,LEC
24,305.6494246049524,304.4198220251429,LEC
25,,315.40714422857144,PER
