Minisector,VER,ALB,Fastest
0,257.2776815827823,249.80088751599618,VER
1,130.67786402626146,130.64111365027728,VER
2,265.8251829379515,264.56881754190675,VER
3,307.5525422824418,305.94715106938776,VER
4,305.09570228545334,304.3472700689655,VER
5,313.32217251428574,311.9469708897544,VER
6,318.85921513086424,316.6705246814815,VER
7,319.90782075663833,318.72755641071683,VER
8,198.54991119549356,196.2180338843412,VER
9,193.68100730027436,196.02320238324137,ALB
10,182.74338426791311,177.45902805418885,VER
11,166.87281389985304,167.33640787680892,ALB
12,253.80544264595736,254.57017104996498,ALB
13,274.63482259367845,275.1000260180321,ALB
14,280.53553736116135,277.09292903010396,VER
15,271.4808602333333,265.6845968161616,VER
16,181.324910794408,185.1083404444483,ALB
17,192.17546918391525,191.24727516057374,VER
18,243.84264508790568,243.30454826632084,VER
19,287.9918676375212,287.2907109025086,VER
20,308.73938081874314,308.6528211181595,VER
21,315.96056548571426,315.22584300460477,VER
22,309.472959292517,309.4625517787412,VER
23,251.10142935510203,236.3493779892405,VER
24,120.0686853742031,115.6636520946375,VER
