Minisector,NOR,ALO,Fastest
0,275.2636091471266,275.11970053352775,NOR
1,297.55233591111113,301.5471145950126,ALO
2,295.54012461491055,299.37941689096596,ALO
3,176.37358061225933,164.44214253842864,NOR
4,118.08752642575189,117.95081694577878,NOR
5,233.0601204846453,233.63456345834703,ALO
6,281.89779487022633,291.6147455412917,ALO
7,287.2026902837234,309.6134938324362,ALO
8,179.125840352363,162.66548878871038,NOR
9,139.52704108315714,135.97830680679087,NOR
10,247.91948777025638,249.59368189737376,ALO
11,288.34946636726846,291.1528098402828,ALO
12,302.7768819266476,304.8108915033037,ALO
13,287.4860486952997,286.9275254158298,NOR
14,298.38758942765486,299.7956129015873,ALO
15,300.26784739758733,302.6515312979592,ALO
16,257.48781830750124,253.3463970101784,NOR
17,236.04695958646076,223.91434543415696,NOR
18,276.28043789831105,283.001391718789,ALO
19,296.60784168601873,311.6664302161754,ALO
20,303.3272513137148,314.2473648457143,ALO
21,237.00578567692588,216.18524005762453,NOR
22,263.87846069544975,256.15173852062554,NOR
23,138.96896801416582,128.3778768271025,NOR
24,209.44373073845682,206.27879862489326,NOR
