Minisector,HAM,GAS,Fastest
0,313.1514567107648,316.99981842025124,GAS
1,319.4471454476367,331.7627814496241,GAS
2,312.2917597667909,334.4479113114638,GAS
3,191.38476517025333,151.6740464430252,HAM
4,128.98795271314955,133.09819129772782,GAS
5,262.1715065361004,260.20199365016106,HAM
6,294.80216938919796,296.43870658181817,GAS
7,306.8616796313398,311.2855120320452,GAS
8,266.63794228220604,254.3949168092517,HAM
9,145.15326818512068,143.9019099214073,HAM
10,218.71538198997146,199.84559847811684,HAM
11,217.69430061982405,200.71876304887547,HAM
12,194.001836710969,179.9350593955396,HAM
13,260.3729807289932,266.9032771756999,GAS
14,298.4697308407786,305.86474765452624,GAS
15,306.70621028317464,326.76971690361904,GAS
16,259.81788208672447,238.50593982420608,HAM
17,214.39703389148536,196.688205481618,HAM
18,274.30778562081053,268.3177402781649,HAM
19,302.21061765234566,304.5046670247619,GAS
20,312.39520204924435,320.72598662736846,GAS
21,296.8620503689459,288.4544910194872,HAM
22,210.9440812608603,189.91272914575003,HAM
23,263.84277070341557,263.2051313718247,HAM
24,296.3341414177048,300.572669894631,GAS
25,307.2166670222222,,HAM
